Slope Mean,Slope Std,Aspect Mean,Aspect Std,Roughness,TPI Mean,TPI Std,Average Elevation
0.123522684,0.04993836,1.8119811,1.0720024,7.2863007,-5.6152345e-09,0.020875849,208.16133
0.1065067,0.04673332,1.7191805,1.0467976,6.1305294,-1.953125e-09,0.01738737,186.35475
0.08908218,0.08798078,1.302094,1.4416361,4.527256,-6.8359376e-09,0.028617024,172.06863
0.09616741,0.086548485,1.3811133,1.3437952,4.375674,1.4648438e-09,0.0346521,156.19597
0.10148558,0.09245667,0.45045468,2.2853322,4.7121835,2.734375e-08,0.030417578,147.43123
0.092101,0.04632368,1.2850941,1.8399657,5.3572373,-3.173828e-09,0.02092591,141.68658
0.10389034,0.06628291,0.30733845,2.2757502,5.1106744,4.8828125e-10,0.02519135,132.57997
0.11612898,0.10218698,1.0701711,1.924446,4.61507,-1.7944336e-08,0.032490946,127.03644
0.109270744,0.10883907,1.4392272,1.7726309,4.5556054,7.446289e-09,0.025299804,119.669624
0.08049053,0.07918795,1.2057734,2.3194492,4.3093686,-8.789063e-09,0.021061908,114.71245
0.072542675,0.05692824,-1.0296398,2.4086878,4.601645,-7.3242186e-09,0.021885142,112.53436
0.042027805,0.033215344,0.0364721,2.037627,1.693829,8.300781e-09,0.016550224,116.23475
0.058726795,0.034846816,0.8450282,0.70895153,3.5995703,-1.2939453e-08,0.012245675,109.45381
0.16454414,0.19175744,0.59267634,1.5837507,4.9776745,2.4414062e-09,0.052348074,98.029305
0.25416237,0.28578186,0.0075928904,1.3923498,9.608098,3.2958984e-09,0.06508932,98.86453
0.20186323,0.21975927,-0.01332711,0.8641396,10.699554,-1.0742188e-08,0.051988035,105.32275
0.2400523,0.24492107,0.0013345488,0.996661,11.517459,7.446289e-09,0.05664161,109.4007
0.20012946,0.18393229,-0.0071315314,1.5546734,7.3971868,-1.3061523e-08,0.045674775,111.9187
0.14216518,0.17151305,-0.12853856,2.1583405,5.759567,9.643554e-09,0.04946694,117.53845
0.087938815,0.055908225,0.80285656,2.0709207,4.006302,2.4414062e-09,0.03327661,116.06764
0.12236918,0.085196026,0.40212688,2.147279,4.942568,-9.887695e-09,0.041657627,109.526634
0.1480167,0.09488848,1.1844933,1.9475296,7.557501,-1.37939455e-08,0.0367907,93.72149
0.23530336,0.16944847,0.8071514,1.8220612,8.033727,-2.9907226e-09,0.05194386,75.304886
0.22891366,0.15721376,0.103622936,2.085067,8.221872,1.0192871e-08,0.045319706,70.87063
0.22268012,0.15136267,0.8123689,1.8699905,8.372455,1.5258789e-09,0.049314775,61.52205
0.23449221,0.19078405,0.27485317,1.5148259,9.297538,-1.385498e-08,0.051049296,58.558525
0.08425352,0.11186844,1.1334409,0.89225405,4.4069757,6.1645506e-09,0.023941426,59.876675
0.08923921,0.12215525,1.0960833,1.1153576,3.2649634,-2.6245117e-09,0.02976707,50.081615
0.17529458,0.19951265,1.1444247,1.2592258,6.38774,-5.493164e-10,0.04271566,38.892376
0.2259987,0.20866047,0.5839411,1.9734273,8.058896,-2.5634765e-09,0.049957123,24.126154
0.10711084,0.13776234,0.4726404,1.6086073,4.6184154,1.6174316e-09,0.036355216,12.8395815
0.0714836,0.14780773,-0.05107124,1.6233331,1.4682,3.3569336e-10,0.040249866,9.801075
0.033214703,0.0767069,0.15721312,1.7560681,0.84530985,-4.6539306e-10,0.022615157,9.952918
0.104642905,0.12749656,-0.5927377,1.5336077,4.0666842,-2.4414062e-10,0.03913226,12.027894
0.11147076,0.051378205,-1.3040112,0.29160497,7.604914,-1.5563965e-09,0.014156001,35.757805
0.0536191,0.03191199,-0.5731092,0.5663435,3.2053025,-6.1035155e-10,0.014014194,50.963974
0.07860365,0.06465752,-0.4624296,0.9039555,4.2615385,-2.8686524e-09,0.030332144,57.09405
0.0580039,0.050465856,-0.19978333,1.5491952,2.1084409,-1.5319824e-08,0.02480238,65.22514
0.061610755,0.081665546,-0.015828263,1.8165079,1.2034558,-2.9907226e-09,0.025129855,64.39408
0.042365048,0.045431778,-0.1474361,1.9551396,0.90193075,8.605957e-09,0.020847183,64.61524
0.08176613,0.040622175,1.563798,0.80427855,4.8567033,3.173828e-09,0.01983841,202.46687
0.10699127,0.06297613,1.3828356,0.80589426,5.9560394,-8.300781e-09,0.029240169,185.16252
0.07755725,0.06986289,0.9764917,1.2543157,2.7356143,1.8310548e-08,0.030677661,169.59216
0.124636225,0.12375902,0.94194,1.1398913,5.085452,7.324219e-10,0.033284977,159.50055
0.11674422,0.106290825,0.6758356,0.9861791,6.1671314,-1.4160157e-08,0.031465586,148.87825
0.15214702,0.13447183,0.5633391,1.4820638,5.2456,1.8310546e-09,0.043733407,137.6015
0.13348551,0.13327214,0.6453306,1.6100554,4.2648125,1.2207031e-09,0.038615383,127.76413
0.1498474,0.14349325,0.96709675,1.7010518,4.893076,-1.8676758e-08,0.045167327,119.23316
0.17287411,0.1666026,0.51762587,1.7301328,6.1583085,-5.371094e-09,0.053430278,115.66345
0.15882742,0.15657559,0.14836594,1.1992053,8.503445,1.3916016e-08,0.046207394,115.453156
0.16137867,0.15073057,0.19671541,1.243358,7.7355485,-3.0517577e-09,0.047305852,110.84846
0.18827237,0.16371673,-0.03314948,1.6725352,5.8352847,-1.2207031e-10,0.047273867,105.14951
0.23173872,0.21527165,0.00049866404,1.7804502,8.194187,8.422852e-09,0.05812712,107.39914
0.19946256,0.21513762,0.0064453674,0.7779431,11.411109,6.225586e-09,0.047179587,115.149
0.10304218,0.05050616,-0.32796517,0.41795692,6.7822313,-8.178711e-09,0.022492487,122.159454
0.07872476,0.038037423,-0.15578535,0.52300215,5.1311116,-1.7089844e-09,0.018876141,127.380035
0.10974048,0.08987276,-0.07231911,1.0532157,5.438091,-4.3945314e-09,0.034395736,132.76428
0.08221354,0.059914093,1.1398176,0.83626527,4.13672,5.859375e-09,0.0214595,124.76651
0.13090852,0.14288937,0.9589958,1.4974657,5.2943892,6.225586e-09,0.037786197,110.031136
0.10582532,0.08268705,0.468344,2.1484926,4.8648143,-1.4648438e-09,0.03734229,104.50331
0.13514736,0.1063819,0.37358284,1.9272207,5.2873774,-8.300781e-09,0.035851374,98.781586
0.105312094,0.11282472,0.79340756,1.711184,3.797712,2.8076172e-09,0.034923397,83.69135
0.22126205,0.1885551,0.076317035,1.4679306,8.405292,-3.7231445e-09,0.051136848,79.14116
0.13316087,0.10484694,0.49818364,1.1734546,5.9690723,-2.1972657e-09,0.028247708,79.18029
0.1259863,0.119936444,0.31015563,1.5204985,3.6424377,-1.0620117e-08,0.033188082,76.15985
0.07883374,0.07837971,1.6703821,1.0108204,3.8427625,-7.93457e-10,0.02335336,69.26138
0.052410103,0.041505072,1.3904406,1.1632389,2.586281,1.4648438e-09,0.019896995,59.222065
0.060999017,0.06219348,1.1479025,1.5041429,2.1726584,1.953125e-09,0.028272867,51.142246
0.17579953,0.16920443,1.2963493,1.3475662,7.2989755,6.1035156e-11,0.043940958,36.698833
0.16269852,0.15828583,0.5416512,1.4796091,6.881682,4.1656496e-09,0.030802626,31.557331
0.12994388,0.12755297,0.88193214,1.356918,7.568556,1.373291e-10,0.03733298,16.34961
0.066008076,0.13574487,0.05827056,1.7172351,1.3580732,-3.8146972e-10,0.037436858,9.995232
0.02131061,0.014380265,-0.020399239,1.754182,0.4616442,7.7819823e-10,0.012785171,9.616192
0.07012367,0.04613085,-1.1399014,0.80433697,4.1983795,6.866455e-10,0.02523432,15.954999
